process_code,process_name,endpoint,node_no,state_code,business_node,employee_duty,center_duty,tech_duty,data_object,domain_event,node_output
P001,统一登录与多岗位身份切换,员工端,1,S01,访问统一入口,查看/配合,监督/协同,配置支撑/留痕,P001_S01,P001.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,2,S02,身份认证/MFA,查看/配合,监督/协同,系统自动/技术保障,P001_S02,P001.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,3,S03,解析自然人与当前员工关系,查看/配合,监督/协同,系统自动/技术保障,P001_S03,P001.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,4,S04,选择或自动解析当前任职身份,查看/配合,监督/协同,系统自动/技术保障,P001_S04,P001.stage.04.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,5,S05,加载模块、动作、数据和字段权限,查看/配合,监督/协同,系统自动/技术保障,P001_S05,P001.stage.05.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,6,S06,进入角色化工作台,查看/配合,监督/协同,配置支撑/留痕,P001_S06,P001.stage.06.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,7,S07,会话持续校验,查看/配合,主办/决策,系统自动/技术保障,P001_S07,P001.stage.07.completed,节点结果、附件、状态事件、通知与审计记录
P001,统一登录与多岗位身份切换,员工端,8,S08,退出与审计,查看/配合,监督/协同,系统自动/技术保障,P001_S08,P001.stage.08.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,1,S01,岗位模板授权,查看/配合,监督/协同,配置支撑/留痕,P002_S01,P002.stage.01.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,2,S02,个人/项目补充授权申请,主办/填写,监督/协同,配置支撑/留痕,P002_S02,P002.stage.02.completed,节点结果、附件、状态事件、通知与审计记录
P002,权限申请、复核与回收,员工端,3,S03,业务负责人确认,主办/填写,主办/决策,配置支撑/留痕,P002_S03,P002.stage.03.completed,节点结果、附件、状态事件、通知与审计记录
