数据库,Schema,表名,表中文名,表类型,说明,关联流程,分区策略,保留策略,写入来源,不可变,字段数
sjg_oms,administration,large_event,大型活动主表,主表,承载大型活动的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P049,不分区,按法规与制度,业务服务,否,41
sjg_oms,administration,large_event_item,大型活动明细项,子表,按field_code承载：actual_metrics、after_snapshot、before_snapshot,P049,不分区,与主表一致,业务服务,否,21
sjg_oms,administration,official_document,正式公文主表,主表,承载正式公文的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P047,不分区,按法规与制度,业务服务,否,36
sjg_oms,administration,official_document_item,正式公文明细项,子表,按field_code承载：action_items、recipient_scope,P047,不分区,与主表一致,业务服务,否,21
sjg_dw,analytics,dim_date,日期维度,维度表,日期维度,,不分区,长期保留,CDC/ETL,否,7
sjg_dw,analytics,dim_employee,员工维度,维度表,员工维度,,不分区,长期保留,CDC/ETL,否,9
sjg_dw,analytics,dim_org,组织维度,维度表,组织维度,,不分区,长期保留,CDC/ETL,否,8
sjg_dw,analytics,dim_process,流程维度,维度表,流程维度,,不分区,长期保留,CDC/ETL,否,5
sjg_dw,analytics,fact_finance,财务事实表,事实表,财务事实表,,事实表按date_key月分区,长期保留,CDC/ETL,否,10
sjg_dw,analytics,fact_service_delivery,服务交付事实表,事实表,服务交付事实表,,事实表按date_key月分区,长期保留,CDC/ETL,否,10
sjg_dw,analytics,fact_workflow,流程事实表,事实表,流程事实表,,事实表按date_key月分区,长期保留,CDC/ETL,否,12
sjg_oms,archive,archive_package,归档包主表,主表,承载归档接收的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P031,不分区,按法规与制度,业务服务,否,38
sjg_oms,archive,archive_package_item,归档包明细项,子表,按field_code承载：transfer_manifest,P031,不分区,与主表一致,业务服务,否,21
sjg_oms,archive,borrow_request,档案借阅主表,主表,承载借阅归还的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P032,不分区,按法规与制度,业务服务,否,38
sjg_oms,archive,borrow_request_item,档案借阅明细项,子表,按field_code承载：transfer_manifest,P032,不分区,与主表一致,业务服务,否,21
sjg_oms,archive,disposal_appraisal,档案销毁鉴定主表,主表,承载销毁鉴定的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P033,不分区,按法规与制度,业务服务,否,35
sjg_oms,archive,disposal_appraisal_item,档案销毁鉴定明细项,子表,按field_code承载：transfer_manifest,P033,不分区,与主表一致,业务服务,否,21
sjg_oms,asset,asset_disposal,资产报废处置主表,主表,承载报废处置的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P053,不分区,按法规与制度,业务服务,否,40
sjg_oms,asset,asset_use_transaction,资产领借调还主表,主表,承载领借调还的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P051,不分区,按法规与制度,业务服务,否,39
sjg_oms,asset,stock_in,资产入库主表,主表,承载入库的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P050,不分区,按法规与制度,业务服务,否,40
sjg_oms,asset,stocktake,资产盘点主表,主表,承载盘点的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P052,不分区,按法规与制度,业务服务,否,42
sjg_oms,asset,stocktake_item,资产盘点明细项,子表,按field_code承载：after_snapshot、before_snapshot,P052,不分区,与主表一致,业务服务,否,21
sjg_oms,attendance,leave_request,请假申请主表,主表,承载请假与考勤的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P008,不分区,按法规与制度,业务服务,否,40
sjg_oms,attendance,leave_request_item,请假申请明细项,子表,按field_code承载：after_snapshot、before_snapshot、handover_items,P008,不分区,与主表一致,业务服务,否,21
sjg_oms,attendance,overtime_request,加班调休申请主表,主表,承载加班与调休的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P009,不分区,按法规与制度,业务服务,否,36
sjg_oms,attendance,overtime_request_item,加班调休申请明细项,子表,按field_code承载：handover_items,P009,不分区,与主表一致,业务服务,否,21
sjg_oms,attendance,shift_change_request,班次调整申请主表,主表,承载排班与班次调整的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P007,不分区,按法规与制度,业务服务,否,42
sjg_oms,attendance,shift_change_request_item,班次调整申请明细项,子表,按field_code承载：after_snapshot、before_snapshot、handover_items,P007,不分区,与主表一致,业务服务,否,21
sjg_audit,audit,access_log,敏感访问日志,日志表,敏感访问日志；只增不改，禁止业务服务直接UPDATE/DELETE,,按occurred_at月分区,在线2年，低成本归档10年,审计SDK/CDC/Outbox,是,8
sjg_oms,audit,audit_policy,审计策略表,配置表,审计策略表,,不分区,按法规与制度,业务服务,否,14
