table,name,columns,kind,unique,where,purpose
core.tenant,idx_core_tenant_status,status,BTREE,否,,租户状态筛选
core.tenant,idx_core_tenant_created,created_at DESC,BTREE,否,,租户创建时间查询
core.tenant,uk_core_tenant_tenant_code,tenant_code,BTREE,是,,租户编码唯一约束
core.dictionary,idx_core_dictionary_tenant,tenant_id,BTREE,否,,租户过滤/RLS
core.dictionary,idx_core_dictionary_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
core.dictionary,uk_core_dictionary_dict_code,"tenant_id,dict_code",BTREE,是,,字典编码唯一约束
core.dictionary_item,idx_core_dictionary_item_tenant,tenant_id,BTREE,否,,租户过滤/RLS
core.dictionary_item,idx_core_dictionary_item_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
core.sequence_rule,idx_core_sequence_rule_tenant,tenant_id,BTREE,否,,租户过滤/RLS
core.sequence_rule,idx_core_sequence_rule_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
core.sequence_rule,uk_core_sequence_rule_rule_code,"tenant_id,rule_code",BTREE,是,,规则编码唯一约束
core.idempotency_record,idx_core_idempotency_record_tenant,tenant_id,BTREE,否,,租户过滤/RLS
core.idempotency_record,idx_core_idempotency_record_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
core.idempotency_record,uk_core_idempotency_record_idempotency_key,"tenant_id,idempotency_key",BTREE,是,,幂等键唯一约束
core.outbox_event,idx_core_outbox_event_tenant,tenant_id,BTREE,否,,租户过滤/RLS
core.outbox_event,idx_core_outbox_event_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
core.outbox_event,uk_core_outbox_event_event_key,"tenant_id,event_key",BTREE,是,,事件幂等键唯一约束
core.inbox_event,idx_core_inbox_event_tenant,tenant_id,BTREE,否,,租户过滤/RLS
core.inbox_event,idx_core_inbox_event_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
iam.user_account,idx_iam_user_account_tenant,tenant_id,BTREE,否,,租户过滤/RLS
iam.user_account,idx_iam_user_account_status,"tenant_id,status",BTREE,否,,待办和状态查询
iam.user_account,idx_iam_user_account_created,"tenant_id,created_at DESC",BTREE,否,,时间范围查询
