源数据库字段,常用中文名,源类型,目标类型,敏感级别,涉及流程数,必填占比,目标分布,校验规则摘要,脱敏规则,审计要求
acceptance_decision,受理结论,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
acceptance_evidence,验收证据,文件集合,varchar(128),P1-内部,126,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×126,,,记录新增与修改
acceptance_method,验收方式,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
acceptance_no,受理编号,文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
acceptance_note,受理意见,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
acceptance_standard_version,验收标准版本,文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
action_items,行动项清单,子表,jsonb,P1-内部,7,0.0,collaboration.meeting_item.item_value_json[CHILD_ITEM]×18；collaboration.notice_item.item_value_json[CHILD_ITEM]×12；administration.official_document_item.item_value_json[CHILD_ITEM]×6；collaboration.executive_directive_item.item_value_json[CHILD_ITEM]×6,,,记录新增与修改
actual_amount,实际金额,金额,"numeric(18,2)",P1-内部,126,0.0,workflow.wf_orchestration_instance.actual_amount[TYPED_COLUMN]×7；collaboration.meeting.actual_amount[TYPED_COLUMN]×3；collaboration.notice.actual_amount[TYPED_COLUMN]×2；devops.release.actual_amount[TYPED_COLUMN]×2；administration.large_event.actual_amount[TYPED_COLUMN]×1；administration.official_document.actual_amount[TYPED_COLUMN]×1；archive.archive_package.actual_amount[TYPED_COLUMN]×1；archive.borrow_request.actual_amount[TYPED_COLUMN]×1；archive.disposal_appraisal.actual_amount[TYPED_COLUMN]×1；asset.asset_disposal.actual_amount[TYPED_COLUMN]×1；asset.asset_use_transaction.actual_amount[TYPED_COLUMN]×1；asset.stock_in.actual_amount[TYPED_COLUMN]×1；asset.stocktake.actual_amount[TYPED_COLUMN]×1；attendance.leave_request.actual_amount[TYPED_COLUMN]×1；attendance.overtime_request.actual_amount[TYPED_COLUMN]×1；attendance.shift_change_request.actual_amount[TYPED_COLUMN]×1；audit.data_export_request.actual_amount[TYPED_COLUMN]×1；audit.data_quality_issue.actual_amount[TYPED_COLUMN]×1；brand.authorization.actual_amount[TYPED_COLUMN]×1；brand.infringement_case.actual_amount[TYPED_COLUMN]×1；brand.material_review.actual_amount[TYPED_COLUMN]×1；catering.food_safety_incident.actual_amount[TYPED_COLUMN]×1；catering.group_meal_order.actual_amount[TYPED_COLUMN]×1；catering.ingredient_acceptance.actual_amount[TYPED_COLUMN]×1；catering.meal_card_settlement.actual_amount[TYPED_COLUMN]×1；cleaning.cleaning_task.actual_amount[TYPED_COLUMN]×1；cleaning.event_support.actual_amount[TYPED_COLUMN]×1；cleaning.pollution_incident.actual_amount[TYPED_COLUMN]×1；collaboration.executive_directive.actual_amount[TYPED_COLUMN]×1；collaboration.major_matter.actual_amount[TYPED_COLUMN]×1；content.change_request.actual_amount[TYPED_COLUMN]×1；content.material_request.actual_amount[TYPED_COLUMN]×1；content.shooting_task.actual_amount[TYPED_COLUMN]×1；costume.damage_report.actual_amount[TYPED_COLUMN]×1；costume.inventory_check.actual_amount[TYPED_COLUMN]×1；costume.session_preparation.actual_amount[TYPED_COLUMN]×1；crm.channel_partner.actual_amount[TYPED_COLUMN]×1；crm.opportunity.actual_amount[TYPED_COLUMN]×1；devops.defect.actual_amount[TYPED_COLUMN]×1；devops.requirement.actual_amount[TYPED_COLUMN]×1；document.signature_envelope.actual_amount[TYPED_COLUMN]×1；dormitory.stay_record.actual_amount[TYPED_COLUMN]×1；drone.flight_cancellation.actual_amount[TYPED_COLUMN]×1；drone.flight_incident.actual_amount[TYPED_COLUMN]×1；drone.flight_task.actual_amount[TYPED_COLUMN]×1；ecommerce.ota_order.actual_amount[TYPED_COLUMN]×1；ecommerce.product_listing.actual_amount[TYPED_COLUMN]×1；ecommerce.refund_order.actual_amount[TYPED_COLUMN]×1；ecommerce.review_complaint.actual_amount[TYPED_COLUMN]×1；education.course_product.actual_amount[TYPED_COLUMN]×1；education.study_tour_delivery.actual_amount[TYPED_COLUMN]×1；education.teacher_schedule.actual_amount[TYPED_COLUMN]×1；entertainment.equipment_fault.actual_amount[TYPED_COLUMN]×1；entertainment.program.actual_amount[TYPED_COLUMN]×1；entertainment.show_session.actual_amount[TYPED_COLUMN]×1；entertainment.staff_shortage.actual_amount[TYPED_COLUMN]×1；entertainment.suspension_advice.actual_amount[TYPED_COLUMN]×1；entertainment.suspension_decision.actual_amount[TYPED_COLUMN]×1；entertainment.tech_support_task.actual_amount[TYPED_COLUMN]×1；finance.budget_request.actual_amount[TYPED_COLUMN]×1；finance.expense_claim.actual_amount[TYPED_COLUMN]×1；finance.loan_request.actual_amount[TYPED_COLUMN]×1；finance.reconciliation_task.actual_amount[TYPED_COLUMN]×1；fleet.vehicle_dispatch.actual_amount[TYPED_COLUMN]×1；fleet.vehicle_incident.actual_amount[TYPED_COLUMN]×1；hr.employee_offboarding.actual_amount[TYPED_COLUMN]×1；hr.employee_onboarding.actual_amount[TYPED_COLUMN]×1；hr.employee_profile_change.actual_amount[TYPED_COLUMN]×1；hr.employee_transfer.actual_amount[TYPED_COLUMN]×1；hr.promotion_request.actual_amount[TYPED_COLUMN]×1；iam.account_execution.actual_amount[TYPED_COLUMN]×1；iam.login_session.actual_amount[TYPED_COLUMN]×1；iam.permission_request.actual_amount[TYPED_COLUMN]×1；integration.data_import_job.actual_amount[TYPED_COLUMN]×1；itops.event_support.actual_amount[TYPED_COLUMN]×1；itops.network_change.actual_amount[TYPED_COLUMN]×1；itops.network_incident.actual_amount[TYPED_COLUMN]×1；itops.recovery_drill.actual_amount[TYPED_COLUMN]×1；itops.service_request.actual_amount[TYPED_COLUMN]×1；learning.learning_assignment.actual_amount[TYPED_COLUMN]×1；maintenance.repair_order.actual_amount[TYPED_COLUMN]×1；marketing.campaign.actual_amount[TYPED_COLUMN]×1；media.ad_campaign.actual_amount[TYPED_COLUMN]×1；media.live_session.actual_amount[TYPED_COLUMN]×1；media.public_opinion_case.actual_amount[TYPED_COLUMN]×1；media.short_video_release.actual_amount[TYPED_COLUMN]×1；merchant.merchant_admission.actual_amount[TYPED_COLUMN]×1；merchant.merchant_exit.actual_amount[TYPED_COLUMN]×1；merchant.merchant_inspection.actual_amount[TYPED_COLUMN]×1；performance.performance_cycle.actual_amount[TYPED_COLUMN]×1；planning.change_request.actual_amount[TYPED_COLUMN]×1；planning.event_handover.actual_amount[TYPED_COLUMN]×1；planning.project.actual_amount[TYPED_COLUMN]×1；procurement.emergency_purchase.actual_amount[TYPED_COLUMN]×1；procurement.purchase_request.actual_amount[TYPED_COLUMN]×1；procurement.purchase_return.actual_amount[TYPED_COLUMN]×1；reception.change_request.actual_amount[TYPED_COLUMN]×1；reception.complaint.actual_amount[TYPED_COLUMN]×1；reception.guide_execution.actual_amount[TYPED_COLUMN]×1；reception.reception_order.actual_amount[TYPED_COLUMN]×1；reward.discipline_case.actual_amount[TYPED_COLUMN]×1；reward.point_transaction.actual_amount[TYPED_COLUMN]×1；reward.reward_case.actual_amount[TYPED_COLUMN]×1；sales.customer_handover.actual_amount[TYPED_COLUMN]×1；sales.deal.actual_amount[TYPED_COLUMN]×1；sales.lead.actual_amount[TYPED_COLUMN]×1；sales.secondary_sale.actual_amount[TYPED_COLUMN]×1；security.crowd_alert.actual_amount[TYPED_COLUMN]×1；security.event_security_plan.actual_amount[TYPED_COLUMN]×1；security.patrol_task.actual_amount[TYPED_COLUMN]×1；security.security_incident.actual_amount[TYPED_COLUMN]×1；ticketing.offline_check_event.actual_amount[TYPED_COLUMN]×1；ticketing.ticket_order.actual_amount[TYPED_COLUMN]×1；ticketing.ticket_refund_change.actual_amount[TYPED_COLUMN]×1；welfare.care_case.actual_amount[TYPED_COLUMN]×1；workflow.generic_request.actual_amount[TYPED_COLUMN]×1,,,记录新增与修改
actual_attendance_summary,实际考勤摘要,长文本,text,P1-内部,3,0.0,attendance.leave_request.actual_attendance_summary[TYPED_COLUMN]×6；attendance.overtime_request.actual_attendance_summary[TYPED_COLUMN]×6；attendance.shift_change_request.actual_attendance_summary[TYPED_COLUMN]×6,,,记录新增与修改
actual_effective_date,实际生效日期,日期,date,P1-内部,6,0.0,hr.employee_offboarding.actual_effective_date[TYPED_COLUMN]×6；hr.employee_onboarding.actual_effective_date[TYPED_COLUMN]×6；hr.employee_transfer.actual_effective_date[TYPED_COLUMN]×6；hr.promotion_request.actual_effective_date[TYPED_COLUMN]×6；iam.login_session.actual_effective_date[TYPED_COLUMN]×6；iam.permission_request.actual_effective_date[TYPED_COLUMN]×6,,,记录新增与修改
