database,schema,中文名称,边界/数据范围,跨域写入规则,负责人建议
sjg_audit,audit,审计治理,审计、导出、数据质量、安全事件,禁止跨Schema直接写；通过应用服务API或领域事件,审计治理模块Owner
sjg_dw,analytics,分析模型,维度、事实、指标快照,禁止跨Schema直接写；通过应用服务API或领域事件,分析模型模块Owner
sjg_oms,administration,行政办公,公文、大型活动,禁止跨Schema直接写；通过应用服务API或领域事件,行政办公模块Owner
sjg_oms,archive,档案管理,归档包、借阅、销毁鉴定,禁止跨Schema直接写；通过应用服务API或领域事件,档案管理模块Owner
sjg_oms,asset,资产仓储,入库、领借调还、盘点、处置,禁止跨Schema直接写；通过应用服务API或领域事件,资产仓储模块Owner
sjg_oms,attendance,考勤排班,班次、请假、加班调休、考勤结果,禁止跨Schema直接写；通过应用服务API或领域事件,考勤排班模块Owner
sjg_oms,audit,审计治理,审计、导出、数据质量、安全事件,禁止跨Schema直接写；通过应用服务API或领域事件,审计治理模块Owner
sjg_oms,brand,品牌管理,授权、物料审核、侵权,禁止跨Schema直接写；通过应用服务API或领域事件,品牌管理模块Owner
sjg_oms,catering,餐饮管理,团餐、食材、食品安全、餐卡,禁止跨Schema直接写；通过应用服务API或领域事件,餐饮管理模块Owner
sjg_oms,cleaning,环卫管理,清洁、污染应急、活动保障,禁止跨Schema直接写；通过应用服务API或领域事件,环卫管理模块Owner
sjg_oms,collaboration,协同办公,通知、会议、行动项、指令、重大事项,禁止跨Schema直接写；通过应用服务API或领域事件,协同办公模块Owner
sjg_oms,content,企宣内容,物料、拍摄、变更,禁止跨Schema直接写；通过应用服务API或领域事件,企宣内容模块Owner
sjg_oms,core,平台基础,租户、字典、序列、幂等、事件箱,禁止跨Schema直接写；通过应用服务API或领域事件,平台基础模块Owner
sjg_oms,costume,服化道,场次准备、报损、盘点,禁止跨Schema直接写；通过应用服务API或领域事件,服化道模块Owner
