tenant_code,process_code,process_name,business_section,module,owner_schema,owner_table,enabled
SJG,P001,统一登录与多岗位身份切换,平台公共能力,全员公共能力,iam,login_session,true
SJG,P002,权限申请、复核与回收,平台公共能力,全员公共能力,iam,permission_request,true
SJG,P003,个人资料变更,平台公共能力,全员公共能力,hr,employee_profile_change,true
SJG,P004,通用申请与审批,平台公共能力,全员公共能力,workflow,generic_request,true
SJG,P005,制度、通知与执行回执,平台公共能力,全员公共能力,collaboration,notice,true
SJG,P006,会议与行动项,平台公共能力,全员公共能力,collaboration,meeting,true
SJG,P007,排班与班次调整,平台公共能力,全员公共能力,attendance,shift_change_request,true
SJG,P008,请假与考勤,平台公共能力,全员公共能力,attendance,leave_request,true
SJG,P009,加班与调休,平台公共能力,全员公共能力,attendance,overtime_request,true
SJG,P010,员工学习、考试与资格,平台公共能力,全员公共能力,learning,learning_assignment,true
SJG,P011,绩效管理,平台公共能力,全员公共能力,performance,performance_cycle,true
SJG,P012,晋升与任职发展,平台公共能力,全员公共能力,hr,promotion_request,true
SJG,P013,奖励,平台公共能力,全员公共能力,reward,reward_case,true
SJG,P014,纪律、责任与申诉,平台公共能力,全员公共能力,reward,discipline_case,true
SJG,P015,成长积分与荣誉积分,平台公共能力,全员公共能力,reward,point_transaction,true
SJG,P016,员工福利与关怀,平台公共能力,全员公共能力,welfare,care_case,true
SJG,P017,电子签署,平台公共能力,全员公共能力,document,signature_envelope,true
SJG,P018,数据导入,平台公共能力,全员公共能力,integration,data_import_job,true
SJG,P019,敏感导出与文件下载,平台公共能力,全员公共能力,audit,data_export_request,true
SJG,P020,数据质量与修复,平台公共能力,全员公共能力,audit,data_quality_issue,true
SJG,P021,经营会议闭环,总裁办,总裁办经营管理模块,collaboration,meeting,true
SJG,P022,总裁指令闭环,总裁办,总裁办经营管理模块,collaboration,executive_directive,true
SJG,P023,重大事项升级,总裁办,总裁办经营管理模块,collaboration,major_matter,true
SJG,P024,预算闭环,财人中心,财务部业务模块,finance,budget_request,true
SJG,P025,报销闭环,财人中心,财务部业务模块,finance,expense_claim,true
SJG,P026,借款核销,财人中心,财务部业务模块,finance,loan_request,true
SJG,P027,跨系统对账,财人中心,财务部业务模块,finance,reconciliation_task,true
SJG,P028,录用入职闭环,财人中心,人力资源部业务模块,hr,employee_onboarding,true
SJG,P029,调岗闭环,财人中心,人力资源部业务模块,hr,employee_transfer,true
SJG,P030,离职闭环,财人中心,人力资源部业务模块,hr,employee_offboarding,true
SJG,P031,归档接收,财人中心,档案管理部业务模块,archive,archive_package,true
SJG,P032,借阅归还,财人中心,档案管理部业务模块,archive,borrow_request,true
SJG,P033,销毁鉴定,财人中心,档案管理部业务模块,archive,disposal_appraisal,true
