process_code,process_name,business_section,module,source_folder,database,schema,master_table,detail_table,workflow_tables,attachment_table,audit_database,analytics_subject,mapping_rule
P001,统一登录与多岗位身份切换,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,iam,iam.login_session,iam.login_session_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,身份权限,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P002,权限申请、复核与回收,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,iam,iam.permission_request,iam.permission_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,身份权限,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P003,个人资料变更,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,hr,hr.employee_profile_change,hr.employee_profile_change_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,人力资源,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P004,通用申请与审批,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,workflow,workflow.generic_request,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P005,制度、通知与执行回执,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,collaboration,collaboration.notice,collaboration.notice_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P006,会议与行动项,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,collaboration,collaboration.meeting,collaboration.meeting_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,协同办公,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P007,排班与班次调整,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,attendance,attendance.shift_change_request,attendance.shift_change_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,考勤排班,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P008,请假与考勤,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,attendance,attendance.leave_request,attendance.leave_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,考勤排班,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P009,加班与调休,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,attendance,attendance.overtime_request,attendance.overtime_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,考勤排班,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P010,员工学习、考试与资格,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,learning,learning.learning_assignment,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,学习考试,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P011,绩效管理,平台公共能力,全员公共能力,01_平台公共能力,sjg_oms,performance,performance.performance_cycle,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,绩效管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
