process_code,process_name,endpoint,state_code,state_name,enter_condition,allowed_action,next_state,sla,timeout_policy,rollback_rule,audit_point
P001,统一登录与多岗位身份切换,员工端,S01,访问统一入口,流程触发/发起,提交/确认/处理/退回/转交（按权限）,身份认证/MFA,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S02,身份认证/MFA,访问统一入口,提交/确认/处理/退回/转交（按权限）,解析自然人与当前员工关系,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S03,解析自然人与当前员工关系,身份认证/MFA,提交/确认/处理/退回/转交（按权限）,选择或自动解析当前任职身份,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S04,选择或自动解析当前任职身份,解析自然人与当前员工关系,提交/确认/处理/退回/转交（按权限）,加载模块、动作、数据和字段权限,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S05,加载模块、动作、数据和字段权限,选择或自动解析当前任职身份,提交/确认/处理/退回/转交（按权限）,进入角色化工作台,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S06,进入角色化工作台,加载模块、动作、数据和字段权限,提交/确认/处理/退回/转交（按权限）,会话持续校验,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S07,会话持续校验,进入角色化工作台,提交/确认/处理/退回/转交（按权限）,退出与审计,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P001,统一登录与多岗位身份切换,员工端,S08,退出与审计,会话持续校验,提交/确认/处理/退回/转交（按权限）,已关闭,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S01,岗位模板授权,流程触发/发起,提交/确认/处理/退回/转交（按权限）,个人/项目补充授权申请,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S02,个人/项目补充授权申请,岗位模板授权,提交/确认/处理/退回/转交（按权限）,业务负责人确认,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S03,业务负责人确认,个人/项目补充授权申请,提交/确认/处理/退回/转交（按权限）,数据责任人复核,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S04,数据责任人复核,业务负责人确认,提交/确认/处理/退回/转交（按权限）,高风险权限审批,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S05,高风险权限审批,数据责任人复核,提交/确认/处理/退回/转交（按权限）,权限生效,立即响应；L3/L4 30分钟内升级,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S06,权限生效,高风险权限审批,提交/确认/处理/退回/转交（按权限）,定期复核,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S07,定期复核,权限生效,提交/确认/处理/退回/转交（按权限）,到期/调岗/离职回收,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P002,权限申请、复核与回收,员工端,S08,到期/调岗/离职回收,定期复核,提交/确认/处理/退回/转交（按权限）,已关闭,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S01,员工查看本人资料,流程触发/发起,提交/确认/处理/退回/转交（按权限）,选择可自助变更字段,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S02,选择可自助变更字段,员工查看本人资料,提交/确认/处理/退回/转交（按权限）,提交新值与证明,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S03,提交新值与证明,选择可自助变更字段,提交/确认/处理/退回/转交（按权限）,字段敏感级别校验,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S04,字段敏感级别校验,提交新值与证明,提交/确认/处理/退回/转交（按权限）,人事/财务/归口岗核验,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S05,人事/财务/归口岗核验,字段敏感级别校验,提交/确认/处理/退回/转交（按权限）,权威主档更新,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S06,权威主档更新,人事/财务/归口岗核验,提交/确认/处理/退回/转交（按权限）,关联模块投影同步,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S07,关联模块投影同步,权威主档更新,提交/确认/处理/退回/转交（按权限）,通知与审计,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P003,个人资料变更,员工端,S08,通知与审计,关联模块投影同步,提交/确认/处理/退回/转交（按权限）,已关闭,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S01,选择业务事项,流程触发/发起,提交/确认/处理/退回/转交（按权限）,填写申请与附件,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S02,填写申请与附件,选择业务事项,提交/确认/处理/退回/转交（按权限）,前置规则校验,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S03,前置规则校验,填写申请与附件,提交/确认/处理/退回/转交（按权限）,提交审批,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S04,提交审批,前置规则校验,提交/确认/处理/退回/转交（按权限）,动态审批与会签,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S05,动态审批与会签,提交审批,提交/确认/处理/退回/转交（按权限）,批准后生成执行任务,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S06,批准后生成执行任务,动态审批与会签,提交/确认/处理/退回/转交（按权限）,执行人提交结果,按计划时点/班次完成,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S07,执行人提交结果,批准后生成执行任务,提交/确认/处理/退回/转交（按权限）,独立验收,按计划时点/班次完成,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S08,独立验收,执行人提交结果,提交/确认/处理/退回/转交（按权限）,异常补偿,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S09,异常补偿,独立验收,提交/确认/处理/退回/转交（按权限）,归档,立即响应；L3/L4 30分钟内升级,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P004,通用申请与审批,员工端,S10,归档,异常补偿,提交/确认/处理/退回/转交（按权限）,已关闭,事项关闭后2个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S01,制度/通知版本发布,流程触发/发起,提交/确认/处理/退回/转交（按权限）,按组织岗位确定范围,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S02,按组织岗位确定范围,制度/通知版本发布,提交/确认/处理/退回/转交（按权限）,消息送达,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S03,消息送达,按组织岗位确定范围,提交/确认/处理/退回/转交（按权限）,员工阅读,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S04,员工阅读,消息送达,提交/确认/处理/退回/转交（按权限）,确认/阅签,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S05,确认/阅签,员工阅读,提交/确认/处理/退回/转交（按权限）,考试或理解验证,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S06,考试或理解验证,确认/阅签,提交/确认/处理/退回/转交（按权限）,执行任务,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S07,执行任务,考试或理解验证,提交/确认/处理/退回/转交（按权限）,责任人验收,按计划时点/班次完成,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S08,责任人验收,执行任务,提交/确认/处理/退回/转交（按权限）,未完成催办升级,1个工作日；高风险按制度,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S09,未完成催办升级,责任人验收,提交/确认/处理/退回/转交（按权限）,档案移交,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P005,制度、通知与执行回执,员工端,S10,档案移交,未完成催办升级,提交/确认/处理/退回/转交（按权限）,已关闭,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
P006,会议与行动项,员工端,S01,议题征集,流程触发/发起,提交/确认/处理/退回/转交（按权限）,材料完整性检查,按流程配置；默认1个工作日,超时提醒→主管催办→高风险升级,仅退回到可编辑前置节点；关键财务/签署节点不得物理回退,操作者、身份、时间、前后值、原因、附件哈希、设备/IP
