process_code,process_name,endpoint,rule_code,rule_name,rule_description,failure_action,trigger_point,audit_record
P001,统一登录与多岗位身份切换,员工端,R01,唯一性与幂等,同一业务对象、节点和幂等键不得重复创建有效单据,阻断并返回已有单号,所有提交/接口,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R02,身份与任职有效性,经办人须通过统一认证，当前任职身份在办理时点有效,阻断；重新选择身份或转授权,所有人工节点,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R03,组织数据范围,仅能查看和处理授权中心、部门、岗位或本人数据,拒绝访问并审计,查询/处理/导出,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R04,必填与格式,必填、类型、长度、时间区间、金额精度须通过服务端校验,退回当前表单,提交前,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R05,状态迁移,仅允许按已发布状态机迁移；重复回调返回原结果,阻断非法迁移,节点提交/回调,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R06,附件安全,附件完成病毒、格式、大小、敏感内容和权限校验,隔离附件并要求补充,上传/下载,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R07,敏感字段,P2/P3字段按最小必要显示；导出需审批、水印、短链和二次认证,拒绝或脱敏,查看/导出,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R08,版本一致性,历史实例固定流程、规则、表单和字典版本,版本冲突时禁止提交,保存/提交,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R09,关闭条件,关闭前必须完成必选子任务、结算/回执、异常和归档检查,转整改/待关闭,关闭节点,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,R10,审计证据链,关键操作保留操作者、身份、时间、前后值、原因、哈希和请求ID,关键审计失败则阻断,全流程,规则版本、命中结果、输入摘要、处理结果
P001,统一登录与多岗位身份切换,员工端,,,,,,
P002,权限申请、复核与回收,员工端,R01,唯一性与幂等,同一业务对象、节点和幂等键不得重复创建有效单据,阻断并返回已有单号,所有提交/接口,规则版本、命中结果、输入摘要、处理结果
P002,权限申请、复核与回收,员工端,R02,身份与任职有效性,经办人须通过统一认证，当前任职身份在办理时点有效,阻断；重新选择身份或转授权,所有人工节点,规则版本、命中结果、输入摘要、处理结果
P002,权限申请、复核与回收,员工端,R03,组织数据范围,仅能查看和处理授权中心、部门、岗位或本人数据,拒绝访问并审计,查询/处理/导出,规则版本、命中结果、输入摘要、处理结果
P002,权限申请、复核与回收,员工端,R04,必填与格式,必填、类型、长度、时间区间、金额精度须通过服务端校验,退回当前表单,提交前,规则版本、命中结果、输入摘要、处理结果
P002,权限申请、复核与回收,员工端,R05,状态迁移,仅允许按已发布状态机迁移；重复回调返回原结果,阻断非法迁移,节点提交/回调,规则版本、命中结果、输入摘要、处理结果
