source_table,source_column,target_table,target_column,relation_type,on_delete,note
iam.login_session_item,master_id,iam.login_session,id,N:1,CASCADE,明细随主记录逻辑删除
iam.permission_request_item,master_id,iam.permission_request,id,N:1,CASCADE,明细随主记录逻辑删除
hr.employee_profile_change_item,master_id,hr.employee_profile_change,id,N:1,CASCADE,明细随主记录逻辑删除
collaboration.notice_item,master_id,collaboration.notice,id,N:1,CASCADE,明细随主记录逻辑删除
collaboration.meeting_item,master_id,collaboration.meeting,id,N:1,CASCADE,明细随主记录逻辑删除
attendance.shift_change_request_item,master_id,attendance.shift_change_request,id,N:1,CASCADE,明细随主记录逻辑删除
attendance.leave_request_item,master_id,attendance.leave_request,id,N:1,CASCADE,明细随主记录逻辑删除
attendance.overtime_request_item,master_id,attendance.overtime_request,id,N:1,CASCADE,明细随主记录逻辑删除
hr.promotion_request_item,master_id,hr.promotion_request,id,N:1,CASCADE,明细随主记录逻辑删除
reward.point_transaction_item,master_id,reward.point_transaction,id,N:1,CASCADE,明细随主记录逻辑删除
integration.data_import_job_item,master_id,integration.data_import_job,id,N:1,CASCADE,明细随主记录逻辑删除
audit.data_export_request_item,master_id,audit.data_export_request,id,N:1,CASCADE,明细随主记录逻辑删除
audit.data_quality_issue_item,master_id,audit.data_quality_issue,id,N:1,CASCADE,明细随主记录逻辑删除
collaboration.executive_directive_item,master_id,collaboration.executive_directive,id,N:1,CASCADE,明细随主记录逻辑删除
finance.budget_request_item,master_id,finance.budget_request,id,N:1,CASCADE,明细随主记录逻辑删除
finance.expense_claim_item,master_id,finance.expense_claim,id,N:1,CASCADE,明细随主记录逻辑删除
finance.loan_request_item,master_id,finance.loan_request,id,N:1,CASCADE,明细随主记录逻辑删除
finance.reconciliation_task_item,master_id,finance.reconciliation_task,id,N:1,CASCADE,明细随主记录逻辑删除
hr.employee_onboarding_item,master_id,hr.employee_onboarding,id,N:1,CASCADE,明细随主记录逻辑删除
hr.employee_transfer_item,master_id,hr.employee_transfer,id,N:1,CASCADE,明细随主记录逻辑删除
hr.employee_offboarding_item,master_id,hr.employee_offboarding,id,N:1,CASCADE,明细随主记录逻辑删除
